system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
sqlite,5,False,,2 GB,1,4.04648,3.7319,3.50156,18.5572,18.8545,18.7069,12.8143,9.11447,9.26357,9.23885,13.5898,9.79808,8.52831
sqlite,5,False,,2 GB,2,4.09621,3.73598,3.50126,18.3732,18.8181,18.5808,12.6547,9.03306,9.30768,9.21086,13.5297,9.7925,8.46015
sqlite,5,False,,2 GB,3,4.04851,3.73396,3.50891,18.3297,18.7073,18.4904,12.6269,9.01816,9.2431,9.19612,13.4617,9.79678,8.44854
sqlite,5,False,,5 GB,1,3.54415,3.19655,2.97258,17.2031,17.0281,16.788,11.6199,7.89101,8.13743,8.11447,12.0258,8.68581,7.52284
sqlite,5,False,,5 GB,2,3.53278,3.26115,3.03114,17.4552,17.2133,17.0221,11.7623,8.02052,8.31687,8.17933,12.1983,8.72886,7.68636
sqlite,5,False,,5 GB,3,3.55665,3.20943,2.94735,17.1943,16.9947,16.8043,11.5865,7.89856,8.14381,8.00899,12.0697,8.66483,7.54382
sqlite,5,True,,100 MB,1,4.16774,3.36459,3.27896,4.19882,3.48818,3.27949,6.4897,3.22058,2.96432,2.94792,5.60431,5.01464,3.82782
sqlite,5,True,,100 MB,2,4.09888,3.36481,3.26275,4.19706,3.49053,3.27216,6.47271,3.26165,2.96487,2.94791,5.58789,5.01864,3.82025
sqlite,5,True,,100 MB,3,4.12473,3.35857,3.26446,4.19171,3.48923,3.26977,6.47731,3.22394,2.97059,2.95156,5.57862,5.01784,3.86155
sqlite,5,True,,200 MB,1,4.11641,3.35343,3.25806,4.15595,3.53294,3.33993,6.47012,3.21313,2.97816,2.9629,5.3393,4.934,3.8525
sqlite,5,True,,200 MB,2,4.10285,3.35303,3.2571,4.08596,3.4669,3.272,6.4916,3.21575,2.97785,2.96389,5.34502,5.04134,3.85855
sqlite,5,True,,200 MB,3,4.09894,3.34585,3.25162,4.08424,3.47154,3.27076,6.48767,3.2152,2.9797,2.96468,5.3422,4.9224,3.85572
sqlite,5,True,,500 MB,1,4.29078,3.56818,3.46879,4.29553,3.63346,3.47386,6.71333,3.40016,3.17022,3.16297,5.57489,5.11105,4.07398
sqlite,5,True,,500 MB,2,4.30544,3.56544,3.47632,4.29311,3.66038,3.46108,6.6817,3.39897,3.16042,3.14552,5.55739,5.08411,4.07087
sqlite,5,True,,500 MB,3,4.16021,3.41102,3.32523,4.05443,3.4475,3.2747,6.49365,3.21087,2.9879,2.9544,5.35018,4.8901,3.89434
sqlite,5,True,,1 GB,1,4.16448,3.3929,3.30049,4.05105,3.42738,3.25511,6.46093,3.20176,2.95939,2.94519,5.33392,4.82341,3.84567
sqlite,5,True,,1 GB,2,4.15597,3.40881,3.32149,4.0821,3.43927,3.29347,6.4842,3.22234,2.96499,2.9514,5.35893,4.84237,3.86622
sqlite,5,True,,1 GB,3,4.14886,3.39563,3.30727,4.06222,3.42895,3.24958,6.42001,3.179,2.9599,2.95083,5.33609,4.8252,3.85014
sqlite,5,True,,2 GB,1,4.1112,3.38449,3.28825,4.01904,3.42798,3.23824,6.38902,3.17514,2.93521,2.93464,5.25773,4.79467,3.79473
sqlite,5,True,,2 GB,2,4.13744,3.37732,3.27595,4.0197,3.4195,3.2324,6.37138,3.15173,2.92012,2.90774,5.2228,4.78583,3.91578
sqlite,5,True,,2 GB,3,4.12707,3.39532,3.33926,4.01757,3.43557,3.24812,6.41849,3.22226,2.94811,2.93377,5.2607,4.79481,3.79311
sqlite,5,True,,5 GB,1,3.56434,2.88462,2.76849,3.37472,2.81916,2.70884,5.62441,2.61287,2.43223,2.42309,4.50028,4.09202,3.22691
sqlite,5,True,,5 GB,2,3.60324,2.87792,2.76934,3.36737,2.82842,2.6783,5.67212,2.60434,2.41352,2.40992,4.49353,4.09407,3.21247
sqlite,5,True,,5 GB,3,3.6249,2.92516,2.82781,3.40578,2.80927,2.69947,5.63026,2.602,2.51157,2.37542,4.49616,4.09288,3.21107
